Accumulable ID;Task ID;Name;Update;Value;Internal;Count Failed Values
542;36;internal.metrics.executorDeserializeTime;21;31;True;True
542;37;internal.metrics.executorDeserializeTime;10;10;True;True
543;36;internal.metrics.executorDeserializeCpuTime;6729915;11005329;True;True
543;37;internal.metrics.executorDeserializeCpuTime;4275414;4275414;True;True
544;36;internal.metrics.executorRunTime;3477;6846;True;True
544;37;internal.metrics.executorRunTime;3369;3369;True;True
545;36;internal.metrics.executorCpuTime;53206677;117955870;True;True
545;37;internal.metrics.executorCpuTime;64749193;64749193;True;True
546;36;internal.metrics.resultSize;1913;3826;True;True
546;37;internal.metrics.resultSize;1913;1913;True;True
549;36;internal.metrics.memoryBytesSpilled;0;0;True;True
549;37;internal.metrics.memoryBytesSpilled;0;0;True;True
550;36;internal.metrics.diskBytesSpilled;0;0;True;True
550;37;internal.metrics.diskBytesSpilled;0;0;True;True
562;36;internal.metrics.shuffle.write.bytesWritten;1692551;3384189;True;True
562;37;internal.metrics.shuffle.write.bytesWritten;1691638;1691638;True;True
563;36;internal.metrics.shuffle.write.recordsWritten;38;76;True;True
563;37;internal.metrics.shuffle.write.recordsWritten;38;38;True;True
564;36;internal.metrics.shuffle.write.writeTime;7635527;16052715;True;True
564;37;internal.metrics.shuffle.write.writeTime;8417188;8417188;True;True
566;36;internal.metrics.input.recordsRead;178715;357415;True;True
566;37;internal.metrics.input.recordsRead;178700;178700;True;True
572;38;internal.metrics.executorDeserializeTime;13;20;True;True
572;39;internal.metrics.executorDeserializeTime;7;7;True;True
573;38;internal.metrics.executorDeserializeCpuTime;4085103;7914896;True;True
573;39;internal.metrics.executorDeserializeCpuTime;3829793;3829793;True;True
574;38;internal.metrics.executorRunTime;8269;15964;True;True
574;39;internal.metrics.executorRunTime;7695;7695;True;True
575;38;internal.metrics.executorCpuTime;51507044;103358114;True;True
575;39;internal.metrics.executorCpuTime;51851070;51851070;True;True
576;38;internal.metrics.resultSize;2185;4370;True;True
576;39;internal.metrics.resultSize;2185;2185;True;True
579;38;internal.metrics.memoryBytesSpilled;0;0;True;True
579;39;internal.metrics.memoryBytesSpilled;0;0;True;True
580;38;internal.metrics.diskBytesSpilled;0;0;True;True
580;39;internal.metrics.diskBytesSpilled;0;0;True;True
585;38;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
585;39;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
586;38;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
586;39;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
587;38;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
587;39;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
588;38;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
