Stage ID;Job ID;Stage Attempt ID;Stage Name;Number of Tasks;Parent IDs;Details;Submission Time;Completion Time;Duration
32;4;0;map at command-162790527861575:31;2;[31];"org.apache.spark.rdd.RDD.map(RDD.scala:402)
lineb6f126cd00b345b99e174fcc6b9b0bd549.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.processGraphSorted(command-162790527861575:31)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:13)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:104)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:106)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:108)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:110)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:112)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw.<init>(command-162790527861580:114)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw.<init>(command-162790527861580:116)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw.<init>(command-162790527861580:118)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw.<init>(command-162790527861580:120)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read.<init>(command-162790527861580:122)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$.<init>(command-162790527861580:126)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$.<clinit>(command-162790527861580)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$eval$.$print$lzycompute(<notebook>:7)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$eval$.$print(<notebook>:6)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$eval.$print(<notebook>)
sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)";2021-03-10 14:00:41.561;2021-03-10 14:01:42.716;61.155
33;4;0;map at command-162790527861575:36;2;[32];"org.apache.spark.rdd.RDD.map(RDD.scala:402)
lineb6f126cd00b345b99e174fcc6b9b0bd549.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.processGraphSorted(command-162790527861575:36)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:13)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:104)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:106)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:108)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:110)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:112)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw.<init>(command-162790527861580:114)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw.<init>(command-162790527861580:116)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw.<init>(command-162790527861580:118)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw.<init>(command-162790527861580:120)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read.<init>(command-162790527861580:122)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$.<init>(command-162790527861580:126)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$.<clinit>(command-162790527861580)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$eval$.$print$lzycompute(<notebook>:7)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$eval$.$print(<notebook>:6)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$eval.$print(<notebook>)
sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)";2021-03-10 14:01:42.720;2021-03-10 14:01:47.315;4.595
34;4;0;collect at command-162790527861575:40;2;[33];"org.apache.spark.rdd.RDD.collect(RDD.scala:1010)
lineb6f126cd00b345b99e174fcc6b9b0bd549.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.processGraphSorted(command-162790527861575:40)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:13)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:104)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:106)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:108)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:110)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:112)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw.<init>(command-162790527861580:114)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw.<init>(command-162790527861580:116)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw.<init>(command-162790527861580:118)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw.<init>(command-162790527861580:120)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read.<init>(command-162790527861580:122)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$.<init>(command-162790527861580:126)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$.<clinit>(command-162790527861580)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$eval$.$print$lzycompute(<notebook>:7)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$eval$.$print(<notebook>:6)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$eval.$print(<notebook>)
sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)";2021-03-10 14:01:47.323;2021-03-10 14:01:51.793;4.47
45;5;0;map at command-162790527861575:31;2;[44];"org.apache.spark.rdd.RDD.map(RDD.scala:402)
lineb6f126cd00b345b99e174fcc6b9b0bd549.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.processGraphSorted(command-162790527861575:31)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:13)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:104)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:106)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:108)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:110)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:112)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw.<init>(command-162790527861580:114)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw.<init>(command-162790527861580:116)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw.<init>(command-162790527861580:118)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw.<init>(command-162790527861580:120)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read.<init>(command-162790527861580:122)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$.<init>(command-162790527861580:126)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$.<clinit>(command-162790527861580)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$eval$.$print$lzycompute(<notebook>:7)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$eval$.$print(<notebook>:6)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$eval.$print(<notebook>)
sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)";2021-03-10 14:01:52.011;2021-03-10 14:01:55.830;3.819
46;5;0;map at command-162790527861575:36;2;[45];"org.apache.spark.rdd.RDD.map(RDD.scala:402)
lineb6f126cd00b345b99e174fcc6b9b0bd549.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.processGraphSorted(command-162790527861575:36)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:13)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:104)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:106)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:108)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:110)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:112)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw.<init>(command-162790527861580:114)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw.<init>(command-162790527861580:116)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw.<init>(command-162790527861580:118)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw.<init>(command-162790527861580:120)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read.<init>(command-162790527861580:122)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$.<init>(command-162790527861580:126)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$.<clinit>(command-162790527861580)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$eval$.$print$lzycompute(<notebook>:7)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$eval$.$print(<notebook>:6)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$eval.$print(<notebook>)
sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)";2021-03-10 14:01:55.844;2021-03-10 14:01:56.646;0.802
47;5;0;collect at command-162790527861575:40;2;[46];"org.apache.spark.rdd.RDD.collect(RDD.scala:1010)
lineb6f126cd00b345b99e174fcc6b9b0bd549.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.processGraphSorted(command-162790527861575:40)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:13)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:104)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:106)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:108)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:110)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw$$iw.<init>(command-162790527861580:112)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw$$iw.<init>(command-162790527861580:114)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw$$iw.<init>(command-162790527861580:116)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw$$iw.<init>(command-162790527861580:118)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$$iw.<init>(command-162790527861580:120)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read.<init>(command-162790527861580:122)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$.<init>(command-162790527861580:126)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$read$.<clinit>(command-162790527861580)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$eval$.$print$lzycompute(<notebook>:7)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$eval$.$print(<notebook>:6)
lineb6f126cd00b345b99e174fcc6b9b0bd553.$eval.$print(<notebook>)
sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)";2021-03-10 14:01:56.654;2021-03-10 14:01:59.663;3.009
