Accumulable ID;Task ID;Name;Update;Value;Internal;Count Failed Values
1546;103;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
1547;102;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
1547;103;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
1548;102;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
1548;103;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
1549;102;internal.metrics.shuffle.read.localBytesRead;263141;263141;True;True
1549;103;internal.metrics.shuffle.read.localBytesRead;220253;483394;True;True
1550;102;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
1550;103;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
1551;102;internal.metrics.shuffle.read.recordsRead;21;21;True;True
1551;103;internal.metrics.shuffle.read.recordsRead;23;44;True;True
1552;102;internal.metrics.shuffle.write.bytesWritten;357686;357686;True;True
1552;103;internal.metrics.shuffle.write.bytesWritten;357692;715378;True;True
1553;102;internal.metrics.shuffle.write.recordsWritten;18;18;True;True
1553;103;internal.metrics.shuffle.write.recordsWritten;19;37;True;True
1554;102;internal.metrics.shuffle.write.writeTime;2251040;2251040;True;True
1554;103;internal.metrics.shuffle.write.writeTime;2694867;4945907;True;True
1562;104;internal.metrics.executorDeserializeTime;5;5;True;True
1562;105;internal.metrics.executorDeserializeTime;9;14;True;True
1563;104;internal.metrics.executorDeserializeCpuTime;2270307;2270307;True;True
1563;105;internal.metrics.executorDeserializeCpuTime;2494383;4764690;True;True
1564;104;internal.metrics.executorRunTime;1260;1260;True;True
1564;105;internal.metrics.executorRunTime;1339;2599;True;True
1565;104;internal.metrics.executorCpuTime;9970566;9970566;True;True
1565;105;internal.metrics.executorCpuTime;10214439;20185005;True;True
1566;104;internal.metrics.resultSize;2182;2182;True;True
1566;105;internal.metrics.resultSize;2182;4364;True;True
1569;104;internal.metrics.memoryBytesSpilled;0;0;True;True
1569;105;internal.metrics.memoryBytesSpilled;0;0;True;True
1570;104;internal.metrics.diskBytesSpilled;0;0;True;True
1570;105;internal.metrics.diskBytesSpilled;0;0;True;True
1575;104;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
1575;105;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
