filename,algo_type,loop_counter,command,end_of_command,accum
dbfs:/FileStore/graph_10M.txt,zip,0,start,1970-01-01T00:00:00.006+0000,0
dbfs:/FileStore/graph_10M.txt,scala-rdd-sorted,1,ded_reduce,1970-01-01T00:00:00.024+0000,1355603
dbfs:/FileStore/graph_10M.txt,scala-rdd-sorted,2,ded_reduce,1970-01-01T00:00:00.004+0000,2683303
dbfs:/FileStore/graph_10M.txt,scala-rdd-sorted,3,ded_reduce,1970-01-01T00:00:00.014+0000,5305417
dbfs:/FileStore/graph_10M.txt,scala-rdd-sorted,4,ded_reduce,1970-01-01T00:00:00.035+0000,5251057
dbfs:/FileStore/graph_10M.txt,scala-rdd-sorted,5,ded_reduce,1970-01-01T00:00:00.011+0000,129530
dbfs:/FileStore/graph_10M.txt,scala-rdd-sorted,6,ded_reduce,1970-01-01T00:00:00.016+0000,0
