filename,edge_per_node,loop_counter,command,end_of_command,accum
../../data/graph_10M_7.txt,7,4,it_groupby,2021-03-17 17:19:45.867162,0
../../data/graph_10M_7.txt,7,4,it_reduce,2021-03-17 17:19:48.445332,2291098
../../data/graph_10M_7.txt,7,4,ded_map,2021-03-17 17:19:52.555097,4582196
../../data/graph_10M_7.txt,7,4,ded_groupby,2021-03-17 17:19:58.306520,6873294
../../data/graph_10M_7.txt,7,4,ded_reduce,2021-03-17 17:19:59.061979,6873294
../../data/graph_10M_7.txt,7,5,it_map,2021-03-17 17:19:59.910046,0
../../data/graph_10M_7.txt,7,5,it_groupby,2021-03-17 17:20:01.490482,0
../../data/graph_10M_7.txt,7,5,it_reduce,2021-03-17 17:20:02.570678,6840
../../data/graph_10M_7.txt,7,5,ded_map,2021-03-17 17:20:03.718307,13680
../../data/graph_10M_7.txt,7,5,ded_groupby,2021-03-17 17:20:06.040569,20520
../../data/graph_10M_7.txt,7,5,ded_reduce,2021-03-17 17:20:06.442715,20520
../../data/graph_10M_7.txt,7,6,it_map,2021-03-17 17:20:06.935972,0
../../data/graph_10M_7.txt,7,6,it_groupby,2021-03-17 17:20:08.175554,0
../../data/graph_10M_7.txt,7,6,it_reduce,2021-03-17 17:20:09.289863,0
../../data/graph_10M_7.txt,7,6,ded_map,2021-03-17 17:20:10.435011,0
../../data/graph_10M_7.txt,7,6,ded_groupby,2021-03-17 17:20:12.725226,0
../../data/graph_10M_7.txt,7,6,ded_reduce,2021-03-17 17:20:13.108337,0
../../data/graph_15M_11.txt,11,0,start,2021-03-17 17:20:17.401847,0
../../data/graph_15M_11.txt,11,1,it_map,2021-03-17 17:20:21.949284,0
../../data/graph_15M_11.txt,11,1,it_groupby,2021-03-17 17:20:28.393066,0
../../data/graph_15M_11.txt,11,1,it_reduce,2021-03-17 17:20:31.423262,2371552
../../data/graph_15M_11.txt,11,1,ded_map,2021-03-17 17:20:35.959257,4743104
../../data/graph_15M_11.txt,11,1,ded_groupby,2021-03-17 17:21:02.505776,7114656
../../data/graph_15M_11.txt,11,1,ded_reduce,2021-03-17 17:21:09.582648,7114656
../../data/graph_15M_11.txt,11,2,it_map,2021-03-17 17:21:18.884472,0
../../data/graph_15M_11.txt,11,2,it_groupby,2021-03-17 17:21:31.397363,0
../../data/graph_15M_11.txt,11,2,it_reduce,2021-03-17 17:21:35.684452,4724663
../../data/graph_15M_11.txt,11,2,ded_map,2021-03-17 17:21:42.846240,9449326
../../data/graph_15M_11.txt,11,2,ded_groupby,2021-03-17 17:24:05.433864,14173989
../../data/graph_15M_11.txt,11,2,ded_reduce,2021-03-17 17:25:07.536372,14173989
../../data/graph_15M_11.txt,11,3,it_map,2021-03-17 17:26:15.802441,0
