Task ID;Attempt;Launch Time;Executor ID;Host;Locality;Speculative;Getting Result Time;Finish Time;Failed;Killed;Stage ID;Duration
0;0;2021-03-10 10:37:01.118;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:37:07.769;False;False;0;6.651
1;0;2021-03-10 10:37:01.174;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:37:08.207;False;False;0;7.033
3;0;2021-03-10 10:37:08.269;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:37:18.361;False;False;1;10.092
2;0;2021-03-10 10:37:08.266;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:37:18.577;False;False;1;10.311
4;0;2021-03-10 10:37:18.633;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;1615372643200;2021-03-10 10:37:23.318;False;False;2;4.685
5;0;2021-03-10 10:37:18.634;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;1615372643118;2021-03-10 10:37:23.357;False;False;2;4.723
7;0;2021-03-10 10:37:23.832;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:37:31.232;False;False;5;7.4
6;0;2021-03-10 10:37:23.832;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:37:31.541;False;False;5;7.709
8;0;2021-03-10 10:37:31.600;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:37:49.235;False;False;6;17.635
9;0;2021-03-10 10:37:31.601;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:37:49.584;False;False;6;17.983
10;0;2021-03-10 10:37:49.614;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;1615372678181;2021-03-10 10:37:58.243;False;False;7;8.629
11;0;2021-03-10 10:37:49.614;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;1615372678382;2021-03-10 10:37:58.409;False;False;7;8.795
13;0;2021-03-10 10:37:59.026;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:38:11.591;False;False;12;12.565
12;0;2021-03-10 10:37:59.025;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:38:11.707;False;False;12;12.682
14;0;2021-03-10 10:38:11.740;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:38:30.308;False;False;13;18.568
15;0;2021-03-10 10:38:11.741;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:38:30.771;False;False;13;19.03
16;0;2021-03-10 10:38:30.825;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;1615372716879;2021-03-10 10:38:36.912;False;False;14;6.087
17;0;2021-03-10 10:38:30.825;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;1615372717244;2021-03-10 10:38:37.285;False;False;14;6.46
19;0;2021-03-10 10:38:37.863;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:38:46.949;False;False;21;9.086
18;0;2021-03-10 10:38:37.862;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:38:47.342;False;False;21;9.48
20;0;2021-03-10 10:38:47.372;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:38:53.655;False;False;22;6.283
21;0;2021-03-10 10:38:47.372;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:38:53.744;False;False;22;6.372
23;0;2021-03-10 10:38:53.764;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:38:54.607;False;False;23;0.843
22;0;2021-03-10 10:38:53.763;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:38:54.665;False;False;23;0.902
24;0;2021-03-10 10:38:54.887;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:38:56.376;False;False;32;1.489
25;0;2021-03-10 10:38:54.887;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:38:56.432;False;False;32;1.545
27;0;2021-03-10 10:38:56.457;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:38:57.895;False;False;33;1.438
26;0;2021-03-10 10:38:56.456;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:38:58.087;False;False;33;1.631
28;0;2021-03-10 10:38:58.109;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:38:58.567;False;False;34;0.458
29;0;2021-03-10 10:38:58.110;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:38:58.568;False;False;34;0.458
31;0;2021-03-10 10:38:58.759;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:38:59.924;False;False;45;1.165
30;0;2021-03-10 10:38:58.759;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:38:59.955;False;False;45;1.196
32;0;2021-03-10 10:38:59.977;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:39:01.407;False;False;46;1.43
33;0;2021-03-10 10:38:59.977;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:39:01.489;False;False;46;1.512
34;0;2021-03-10 10:39:01.509;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:39:01.961;False;False;47;0.452
35;0;2021-03-10 10:39:01.509;driver;ip-10-172-248-135.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 10:39:02.044;False;False;47;0.535
