filename,edge_per_node,loop_counter,command,end_of_command,accum
../../data/graph_10M_7.txt,7,4,it_groupby,2021-03-17 15:22:03.803082,0
../../data/graph_10M_7.txt,7,4,it_reduce,2021-03-17 15:22:06.273321,2291098
../../data/graph_10M_7.txt,7,4,ded_map,2021-03-17 15:22:10.364027,4582196
../../data/graph_10M_7.txt,7,4,ded_groupby,2021-03-17 15:22:16.220123,6873294
../../data/graph_10M_7.txt,7,4,ded_reduce,2021-03-17 15:22:16.955479,6873294
../../data/graph_10M_7.txt,7,5,it_map,2021-03-17 15:22:17.820466,0
../../data/graph_10M_7.txt,7,5,it_groupby,2021-03-17 15:22:19.356402,0
../../data/graph_10M_7.txt,7,5,it_reduce,2021-03-17 15:22:20.455494,6840
../../data/graph_10M_7.txt,7,5,ded_map,2021-03-17 15:22:21.563982,13680
../../data/graph_10M_7.txt,7,5,ded_groupby,2021-03-17 15:22:23.806055,20520
../../data/graph_10M_7.txt,7,5,ded_reduce,2021-03-17 15:22:24.166144,20520
../../data/graph_10M_7.txt,7,6,it_map,2021-03-17 15:22:24.674694,0
../../data/graph_10M_7.txt,7,6,it_groupby,2021-03-17 15:22:25.881922,0
../../data/graph_10M_7.txt,7,6,it_reduce,2021-03-17 15:22:26.937403,0
../../data/graph_10M_7.txt,7,6,ded_map,2021-03-17 15:22:28.060608,0
../../data/graph_10M_7.txt,7,6,ded_groupby,2021-03-17 15:22:30.184614,0
../../data/graph_10M_7.txt,7,6,ded_reduce,2021-03-17 15:22:30.549997,0
../../data/graph_10M_11.txt,11,0,start,2021-03-17 15:22:34.513458,0
../../data/graph_10M_11.txt,11,1,it_map,2021-03-17 15:22:37.200530,0
../../data/graph_10M_11.txt,11,1,it_groupby,2021-03-17 15:22:41.933790,0
../../data/graph_10M_11.txt,11,1,it_reduce,2021-03-17 15:22:44.001666,1632377
../../data/graph_10M_11.txt,11,1,ded_map,2021-03-17 15:22:47.001693,3264754
../../data/graph_10M_11.txt,11,1,ded_groupby,2021-03-17 15:23:05.485209,4897131
../../data/graph_10M_11.txt,11,1,ded_reduce,2021-03-17 15:23:10.394598,4897131
