filename,algo_type,loop_counter,command,end_of_command,accum,len_list
dbfs:/FileStore/graph_10M_3.txt,min,4,it_reduce,2021-03-24 15:29:41.546401,7914232,8179794
dbfs:/FileStore/graph_10M_3.txt,min,4,ded_map,2021-03-24 15:30:06.298536,15828464,8179794
dbfs:/FileStore/graph_10M_3.txt,min,4,ded_groupby,2021-03-24 15:31:04.395758,23742696,1237332
dbfs:/FileStore/graph_10M_3.txt,min,4,ded_reduce,2021-03-24 15:31:13.454104,23742696,1237332
dbfs:/FileStore/graph_10M_3.txt,min,5,it_map,2021-03-24 15:31:23.898902,0,2474664
dbfs:/FileStore/graph_10M_3.txt,min,5,it_groupby,2021-03-24 15:31:41.626470,0,265570
dbfs:/FileStore/graph_10M_3.txt,min,5,it_reduce,2021-03-24 15:31:48.798546,1946629,2212192
dbfs:/FileStore/graph_10M_3.txt,min,5,ded_map,2021-03-24 15:31:58.404346,3893258,2212192
dbfs:/FileStore/graph_10M_3.txt,min,5,ded_groupby,2021-03-24 15:32:16.827078,5839887,269055
dbfs:/FileStore/graph_10M_3.txt,min,5,ded_reduce,2021-03-24 15:32:19.602711,5839887,269055
dbfs:/FileStore/graph_10M_3.txt,min,6,it_map,2021-03-24 15:32:22.794630,0,538110
dbfs:/FileStore/graph_10M_3.txt,min,6,it_groupby,2021-03-24 15:32:29.394413,0,265570
dbfs:/FileStore/graph_10M_3.txt,min,6,it_reduce,2021-03-24 15:32:33.588802,6984,272547
dbfs:/FileStore/graph_10M_3.txt,min,6,ded_map,2021-03-24 15:32:38.208984,13968,272547
dbfs:/FileStore/graph_10M_3.txt,min,6,ded_groupby,2021-03-24 15:32:47.730507,20952,265563
dbfs:/FileStore/graph_10M_3.txt,min,6,ded_reduce,2021-03-24 15:32:49.511191,20952,265563
dbfs:/FileStore/graph_10M_3.txt,min,7,it_map,2021-03-24 15:32:51.679726,0,531126
dbfs:/FileStore/graph_10M_3.txt,min,7,it_groupby,2021-03-24 15:32:57.210224,0,265570
dbfs:/FileStore/graph_10M_3.txt,min,7,it_reduce,2021-03-24 15:33:01.501694,0,265563
dbfs:/FileStore/graph_10M_3.txt,min,7,ded_map,2021-03-24 15:33:05.997958,0,265563
dbfs:/FileStore/graph_10M_3.txt,min,7,ded_groupby,2021-03-24 15:33:15.678893,0,265563
dbfs:/FileStore/graph_10M_3.txt,min,7,ded_reduce,2021-03-24 15:33:17.518018,0,265563
dbfs:/FileStore/graph_10M_7.txt,distinct,0,start,2021-03-24 15:33:19.814497,0,0
dbfs:/FileStore/graph_10M_7.txt,distinct,1,it_map,2021-03-24 15:33:25.599939,0,1720642
dbfs:/FileStore/graph_10M_7.txt,distinct,1,it_groupby,2021-03-24 15:33:36.301296,0,122600
dbfs:/FileStore/graph_10M_7.txt,distinct,1,it_reduce,2021-03-24 15:33:40.756599,1493206,1607078
dbfs:/FileStore/graph_10M_7.txt,distinct,1,ded_reduce,2021-03-24 15:34:02.432425,2986412,1606238
dbfs:/FileStore/graph_10M_7.txt,distinct,2,it_map,2021-03-24 15:34:08.945004,0,3212476
dbfs:/FileStore/graph_10M_7.txt,distinct,2,it_groupby,2021-03-24 15:34:20.761683,0,122600
dbfs:/FileStore/graph_10M_7.txt,distinct,2,it_reduce,2021-03-24 15:34:27.044550,2970679,3092663
dbfs:/FileStore/graph_10M_7.txt,distinct,2,ded_reduce,2021-03-24 15:35:03.726869,5941358,2945187
dbfs:/FileStore/graph_10M_7.txt,distinct,3,it_map,2021-03-24 15:35:14.607357,0,5890374
dbfs:/FileStore/graph_10M_7.txt,distinct,3,it_groupby,2021-03-24 15:35:32.537875,0,122600
